Company Name,Pitch Year,Industry Served (organized),State Headquartered,Princeton Connection? (Binary),Total Amount Currently Raising,Amount Already Closed of the Total Currently Raising,[Gender] Does anyone on your founding team identify as:,[Race/Ethnicity] Does anyone on your founding team identify as:,Has anyone on your founding team ever served on active duty?
"GovInvest, Inc.",2020,GovTech,California,Yes,1000000,3100000,"Female, Male","Hispanic/Latinx, American Indian/Alaskan Native, Southeast Asian, White",Yes
Elite Soccer Conference LLC,2020,Sports,Texas,Yes,30000,15000,Male,Hispanic/Latinx,No
"Orderly Health, Inc.",2020,Healthcare Technologies,Colorado,Yes,2000000,800000,"Female, Male",White,Yes
Principld Investing Inc.,2020,FinTech,New York,Yes,600000,300000,Male,"Hispanic/Latinx, White",No
"Green Options, Inc",2020,Food & Drink,Oregon,No,450000,150000,Female,White,No
"Arica US, Inc",2020,Other,California,Yes,500000,0,"Female, Male",White,No
3quilibrium Co.,2020,Media & Entertainment,New York,No,700000,50000,Male,"East Asian, White",No
FLOAT/THERE Inc.,2020,Travel,Pennsylvania,Yes,1200000,0,Female,East Asian,No
SelfPass,2020,Information Security,New York,Yes,1000000,0,Male,African-American / Black,No
Parkside Scientific Inc.,2020,Biotechnology,New York,Yes,2000000,0,Male,"East Asian, White",No
PROJECT DIOPTRA,2020,Healthcare Technologies,New York,No,1000000,50000,Female,"East Asian, White",No
Tendo Technologies,2020,Manufacturing,New Jersey,Yes,1800000,0,Male,"East Asian, White",Yes
Prinsta,2020,Electronics,New York,No,200000,150000,Male,"African, White",No
Articulate Labs,2020,Healthcare Technologies,Texas,No,750000,100000,Male,White,No
VasoGnosis Inc.,2020,Healthcare Technologies,Wisconsin,No,1500000,230000,Male,White,No
Vitrix Health,2020,Healthcare Technologies,Illinois,No,550000,115000,Male,South Asian,No
"Aerosol Therapeutics, LLC",2020,Pharmaceuticals,New York,Yes,800000,0,Male,White,No
"Hiki, Inc.",2020,Social Media,New York,Yes,500000,115000,Male,African-American / Black,No
"ClearValue Energy, Inc.",2020,Energy & CleanTech,Texas,Yes,20000000,0,Male,White,Yes
"Stingray Therapeutics, Inc.",2020,Pharmaceuticals,Texas,No,5000000,2000000,Male,"South Asian, White",No
"Curated Planet, Inc.",2020,Travel,Illinois,No,1000000,0,"Female, Male","White, Eastern European",No
Breathing.AI,2020,Healthcare Technologies,New York,Yes,1200000,11000,Human Being,Human Being,No
QSM Diagnostics Inc.,2020,Other,Massachusetts,Yes,200000,50000,Male,White,No
Aduri,2020,Health & Well-Being,New York,No,1000000,235000,Male,South Asian,No
FULLSTACK Retail Inc.,2020,Retail,New York,Yes,500000,113050,Female,White,No
Amnicell Corp.,2020,Healthcare Technologies,New York,Yes,700000,100000,"Female, Male",White,Yes
"InterPrice Technologies, Inc.",2020,FinTech,New Jersey,Yes,2000000,0,Female,"Southeast Asian, White",No
"First Class LTS - Ohio, LLC",2020,Transportation,Ohio,Yes,1000000,1000,Male,African-American / Black,Yes
D2AIRPORT INC.,2020,Travel,Florida,Yes,1380000,225000,Male,Hispanic/Latinx,No
Climate Solutions Net,2020,Energy & CleanTech,California,Yes,1000000,600000,Female,White,No
"Ataia, Inc.",2020,Healthcare Technologies,Texas,Yes,500000,740000,"Female, Male","East Asian, Southeast Asian, White",No
Baru Inc,2020,Other,New York,No,500000,175000,"Female, Male","African-American / Black, Pacific Islander, White",No
"CathBuddy, Inc.",2020,Healthcare Technologies,New York,Yes,500000,205000,Male,"South Asian, White",No
Skiveo,2020,Education,New Jersey,Yes,150000,0,Female,African-American / Black,No
Mi Terro,2020,Agricultural Technology,California,No,500000,150000,Male,"East Asian, South Asian",Not applicable
"Perinatal Access, Inc.",2020,Healthcare Technologies,Texas,No,1000000,0,Male,White,No
